v = 26
12 22 8
12 23 4
12 24 4
12 25 4
12 26 7
12 27 8
12 28 4
12 29 7
12 30 8
12 31 10
12 32 9
12 33 6
12 34 6
12 35 12
12 36 3
12 37 7
12 38 6
12 39 6
12 40 6
12 41 8
12 42 6
12 43 8
12 44 8
12 45 8
13 14 7
13 15 8
13 16 11
13 17 8
13 18 8
13 19 8
13 20 3
13 21 5
13 22 8
13 23 8
13 24 9
13 25 7
13 26 7
13 27 7
13 28 5
13 29 10
13 30 6
13 31 10
13 32 6
13 33 8
13 34 3
13 35 8
13 36 3
13 37 5
13 38 6
13 39 7
13 40 6
13 41 3
13 42 7
13 43 6
13 44 9
13 45 5
14 15 5
14 16 8
14 17 9
14 18 9
14 19 9
14 20 4
14 21 8
14 22 9
14 23 10
14 24 10
14 25 5
14 26 6
14 27 9
14 28 6
14 29 8
14 30 8
14 31 8
14 32 8
14 33 7
14 34 5
14 35 9
14 36 6
14 37 6
14 38 9
14 39 4
14 40 3
14 41 7
14 42 9
14 43 8
14 44 8
14 45 8
15 16 8
15 17 8
15 18 8
15 19 8
15 20 7
15 21 8
15 22 10
15 23 9
15 24 10
15 25 4
15 26 4
15 27 9
15 28 5
15 29 7
15 30 9
15 31 10
15 32 7
15 33 6
15 34 7
15 35 12
15 36 5
15 37 5
15 38 8
15 39 4
15 40 2
15 41 6
15 42 8
15 43 5
15 44 7
15 45 9
16 17 9
16 18 3
16 19 9
16 20 10
16 21 8
16 22 9
16 23 8
16 24 11
16 25 8
16 26 6
16 27 8
16 28 6
16 29 11
16 30 7
16 31 10
16 32 10
16 33 7
16 34 8
16 35 7
16 36 9
16 37 8
16 38 9
16 39 4
16 40 6
16 41 10
16 42 9
16 43 10
16 44 9
16 45 6
17 18 6
17 19 8
17 20 7
17 21 9
17 22 7
17 23 8
17 24 6
17 25 8
17 26 4
17 27 6
17 28 7
17 29 6
17 30 9
17 31 4
17 32 8
17 33 8
17 34 8
17 35 7
17 36 9
17 37 6
17 38 6
17 39 6
17 40 6
17 41 8
17 42 8
17 43 8
17 44 7
17 45 3
18 19 9
18 20 8
18 21 6
18 22 6
18 23 6
18 24 9
18 25 6
18 26 6
18 27 6
18 28 7
18 29 9
18 30 10
18 31 8
18 32 8
18 33 4
18 34 9
18 35 10
18 36 9
18 37 6
18 38 6
18 39 7
18 40 6
18 41 7
18 42 7
18 43 7
18 44 6
18 45 3
19 20 9
19 21 9
19 22 5
19 23 5
19 24 2
19 25 7
19 26 7
19 27 6
19 28 7
19 29 10
19 30 9
19 31 8
19 32 9
19 33 5
19 34 9
19 35 9
19 36 9
19 37 9
19 38 3
19 39 5
19 40 7
19 41 6
19 42 9
19 43 8
19 44 7
19 45 7
20 21 8
20 22 5
20 23 6
20 24 7
20 25 9
20 26 4
20 27 6
20 28 6
20 29 7
20 30 7
20 31 7
20 32 4
20 33 8
20 34 4
20 35 5
20 36 6
20 37 2
20 38 6
20 39 6
20 40 7
20 41 6
20 42 6
20 43 7
20 44 8
20 45 5
21 22 4
21 23 8
21 24 8
21 25 8
21 26 6
21 27 8
21 28 6
21 29 11
21 30 10
21 31 9
21 32 10
21 33 8
21 34 8
21 35 9
21 36 8
21 37 8
21 38 6
21 39 4
21 40 6
21 41 8
21 42 6
21 43 11
21 44 4
21 45 8
22 23 4
22 24 6
22 25 6
22 26 7
22 27 6
22 28 8
22 29 9
22 30 8
22 31 8
22 32 7
22 33 4
22 34 9
22 35 9
22 36 9
22 37 5
22 38 2
22 39 8
22 40 8
22 41 5
22 42 6
22 43 7
22 44 4
22 45 4
23 24 3
23 25 6
23 26 6
23 27 4
23 28 8
23 29 8
23 30 4
23 31 6
23 32 6
23 33 4
23 34 6
23 35 8
23 36 7
23 37 4
23 38 2
23 39 8
23 40 8
23 41 5
23 42 5
23 43 7
23 44 7
23 45 8
24 25 8
24 26 9
24 27 4
24 28 7
24 29 8
24 30 7
24 31 7
24 32 9
24 33 7
24 34 8
24 35 10
24 36 7
24 37 7
24 38 5
24 39 7
24 40 9
24 41 6
24 42 7
24 43 10
24 44 5
24 45 6
25 26 6
25 27 9
25 28 6
25 29 3
25 30 8
25 31 10
25 32 8
25 33 2
25 34 8
25 35 11
25 36 5
25 37 8
25 38 4
25 39 4
25 40 2
25 41 6
25 42 9
25 43 5
25 44 7
25 45 5
26 27 6
26 28 4
26 29 9
26 30 5
26 31 7
26 32 4
26 33 8
26 34 6
26 35 9
26 36 7
26 37 2
26 38 8
26 39 2
26 40 4
26 41 7
26 42 7
26 43 9
26 44 7
26 45 7
27 28 6
27 29 8
27 30 7
27 31 6
27 32 6
27 33 7
27 34 4
27 35 8
27 36 8
27 37 4
27 38 5
27 39 8
27 40 9
27 41 6
27 42 5
27 43 7
27 44 5
27 45 6
28 29 9
28 30 5
28 31 8
28 32 8
28 33 8
28 34 2
28 35 8
28 36 6
28 37 6
28 38 10
28 39 2
28 40 4
28 41 7
28 42 3
28 43 5
28 44 5
28 45 4
29 30 11
29 31 10
29 32 10
29 33 5
29 34 11
29 35 12
29 36 8
29 37 8
29 38 7
29 39 7
29 40 5
29 41 9
29 42 9
29 43 8
29 44 10
29 45 8
30 31 6
30 32 9
30 33 6
30 34 3
30 35 9
30 36 7
30 37 7
30 38 6
30 39 6
30 40 8
30 41 9
30 42 4
30 43 6
30 44 6
30 45 9
31 32 8
31 33 8
31 34 9
31 35 3
31 36 11
31 37 6
31 38 6
31 39 9
31 40 8
31 41 9
31 42 7
31 43 10
31 44 7
31 45 7
32 33 10
32 34 6
32 35 9
32 36 9
32 37 2
32 38 8
32 39 6
32 40 8
32 41 9
32 42 7
32 43 9
32 44 9
32 45 7
33 34 6
33 35 9
33 36 7
33 37 8
33 38 2
33 39 6
33 40 4
33 41 5
33 42 9
33 43 3
33 44 7
33 45 7
34 35 6
34 36 4
34 37 4
34 38 8
34 39 4
34 40 6
34 41 6
34 42 4
34 43 3
34 44 6
34 45 6
35 36 10
35 37 7
35 38 9
35 39 10
35 40 10
35 41 6
35 42 7
35 43 9
35 44 5
35 45 10
36 37 8
36 38 9
36 39 5
36 40 3
36 41 6
36 42 7
36 43 5
36 44 8
36 45 8
37 38 6
37 39 4
37 40 6
37 41 8
37 42 5
37 43 7
37 44 7
37 45 5
38 39 8
38 40 6
38 41 3
38 42 7
38 43 5
38 44 5
38 45 6
39 40 2
39 41 6
39 42 5
39 43 7
39 44 7
39 45 6
40 41 4
40 42 7
40 43 7
40 44 5
40 45 7
41 42 7
41 43 8
41 44 7
41 45 8
42 43 7
42 44 2
42 45 7
43 44 9
43 45 5
44 45 7
